id,product_name,price,quantity,expiration_date,category,manufacturer,stock_symbol,location,is_available,purchase_date
1,Sour Puss Sour Apple,54.15,500,9/6/2022,household,Flashdog,YORW,PO Box 62472,false,5/8/2022
2,Wine - Magnotta - Bel Paese White,59.98,679,9/10/2022,personal care,Linktype,NYCB^U,PO Box 15421,false,10/12/2023
3,Vinegar - White,79.09,783,4/5/2022,household,Mita,NRZ,Apt 1536,false,3/24/2022
4,Cheese Cloth No 60,76.65,165,7/7/2022,household,Blogtags,STM,7th Floor,false,7/9/2023
5,Tomatoes - Roma,80.04,901,8/14/2022,food,Gabcube,GAIA,Room 1349,true,12/12/2023
6,Beer - Pilsner Urquell,97.09,705,8/11/2023,food,Wordify,ASYS,Suite 93,true,8/30/2023
7,Wine - Chianti Classico Riserva,18.21,791,1/13/2023,personal care,Jatri,IGLD,PO Box 87871,true,4/6/2022
8,Nut - Pumpkin Seeds,66.78,695,10/28/2022,personal care,Vimbo,URI,Suite 48,false,9/29/2022
9,Beef - Tenderloin,91.02,805,12/12/2023,beverages,Voolia,CASI,12th Floor,false,11/20/2022
10,Mackerel Whole Fresh,76.06,122,4/17/2022,household,Nlounge,ASA,Apt 349,true,3/4/2023
11,Bread - 10 Grain Parisian,61.75,882,5/27/2022,food,Yakijo,JOE,Room 53,false,12/4/2022
12,Grapes - Green,73.23,573,8/16/2023,household,Kwimbee,FENG,Suite 26,true,10/15/2022
13,"C - Plus, Orange",71.82,532,10/25/2022,household,Centimia,WVE,Room 621,false,11/26/2022
14,Onions - Cooking,47.96,845,3/31/2022,personal care,Cogibox,QIWI,Room 638,true,11/5/2022
15,Ostrich - Prime Cut,84.14,192,4/20/2022,household,Dazzlesphere,CVV,Apt 212,true,9/9/2022
16,Wine - Casablanca Valley,6.71,737,8/24/2022,food,Yotz,BLIN          ,PO Box 27070,false,4/6/2023
17,Muffin Mix - Oatmeal,21.97,696,9/16/2022,personal care,Divanoodle,ROK,Apt 113,false,10/23/2022
18,"Lamb - Leg, Boneless",18.91,918,1/16/2023,household,Avavee,SIEN,PO Box 41481,false,11/5/2023
19,"Roe - Lump Fish, Red",27.52,964,12/25/2023,personal care,Cogibox,BAC^D,Apt 1911,false,4/4/2023
20,"Red Snapper - Fresh, Whole",33.43,224,8/2/2023,household,Quimm,APTS,PO Box 72168,false,9/23/2022
21,Fond - Chocolate,79.18,831,4/2/2022,beverages,Omba,AMSF,Suite 87,true,1/30/2022
22,Kiwano,89.2,202,9/19/2022,household,Voolith,DSGX,Room 1530,true,7/18/2022
23,Curry Powder,50.32,860,10/27/2022,food,Trunyx,GJP,Apt 1831,true,8/24/2023
24,"Bread - Dark Rye, Loaf",88.83,772,6/15/2023,beverages,Yakijo,AKBA,Suite 46,true,1/7/2023
25,Bread - Onion Focaccia,61.98,817,10/30/2022,beverages,Bluejam,FLIC,Room 1721,true,6/29/2023
